,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
4777,三重區,房地(土地+建物)+車位,新北市三重區頂文路５號八樓,16.46,住,,,1071007,土地1建物1車位1,八層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101015,118.53999999999999,2,2,2,有,有,13150000,129984,坡道平面,32.76,2000000,預售屋、或土地及建物分件登記案件；,RPVPMLTJLHHGFGF56DA,48.85,3.38,4.17,有,
4778,三重區,房地(土地+建物)+車位,新北市三重區頂文路３３號十一樓,16.46,住,,,1091225,土地1建物1車位1,十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101015,118.53999999999999,2,2,2,有,有,13900000,140476,坡道平面,32.76,1850000,預售屋、或土地及建物分件登記案件；,RPOQMLSJLHHGFGF48DA,48.85,3.38,4.17,有,
4779,三重區,房地(土地+建物)+車位,新北市三重區頂文路２９號九樓,22.71,住,,,1101120,土地1建物1車位1,九層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101015,176.56,3,2,2,有,有,23550000,148216,坡道平面,34.2,2450000,預售屋、或土地及建物分件登記案件；,RPPQMLSJLHHGFGF58DA,80.21,7.49,6.0,有,
4780,三重區,房地(土地+建物)+車位,新北市三重區頂文路３５號四樓,23.18,住,,,1100911,土地1建物1車位1,四層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101015,177.79,3,2,2,有,有,22620000,140454,坡道平面,32.76,2250000,111年2月22日讓與金額2262萬元整預售屋、或土地及建物分件登記案件；,RPRPMLKKLHHGFGF97DA,82.46,7.03,5.92,有,
4781,蘆洲區,房地(土地+建物),新北市蘆洲區光華路１１０巷１８號十三樓,14.14,住,,,1110219,土地1建物1車位0,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820116,106.66,3,2,2,有,有,13400000,125633,,0.0,0,,RPRQMLOKLHHGFGF48DA,83.03,0.95,9.63,有,
4784,三重區,房地(土地+建物)+車位,新北市三重區福德南路３７號十一樓之二,6.95,商,,,1110220,土地2建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890317,83.50999999999999,2,1,1,有,有,11600000,138906,坡道平面,23.92,0,,RPXPMLQKLHHGFGF56DA,36.5,0.0,8.19,有,53.0
4786,三重區,房地(土地+建物)+車位,新北市三重區新北大道一段２５２號十三樓,13.36,住,,,1110218,土地1建物1車位2,十三層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880206,151.22,3,2,2,有,有,16140000,106732,坡道平面,37.75,0,,RPPNMLRKLHHGFGF28DA,70.71,0.0,16.57,有,
4792,中和區,房地(土地+建物)+車位,新北市中和區中原二街５６號二十四樓,40.33,住,,,1100629,土地1建物1車位1,二十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土構造,1100125,219.74,3,2,2,有,有,39750000,193543,坡道平面,28.31,2700000,,RPORMLOLJIGGFHF28DA,110.16,1.49,15.76,有,
4793,中和區,房地(土地+建物)+車位,新北市中和區中原二街２８號五樓,22.2,住,,,1101230,土地1建物1車位1,五層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土構造,1100125,131.34,2,2,1,有,有,21200000,181986,坡道平面,28.31,2450000,,RPWRMLOLJHHGFHF09DA,60.67,3.32,3.73,有,
4797,中和區,房地(土地+建物)+車位,新北市中和區中原二街３６號二十七樓,29.85,住,,,1110123,土地1建物1車位1,二十七層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土構造,1100125,168.31,2,2,2,有,有,28000000,182143,坡道平面,28.31,2500000,,RPTPMLNJLHHGFHF48DA,81.57,1.93,9.04,有,
